Usuario,Opinión,Puntuación
Jamón Jamón,El sitio estaba a tope pero aún así los camareros estaban atentos a todo. Pasan con tapas muy muy ricas cada dos por tres., 4 estrellas 
Sidrería La Pumarada,Elegimos al azar para comer y bien. La fabada muy rica., 4 estrellas 
Casa Rural Posada Real de Pajares,Gran acierto al quedarnos en esta casa rural para descansar durante el camino San Salvador. Tiene buena ubicación y además la dueña nos facilitó el teléfono de un bar para traernos comida a domicilio., 4 estrellas 
Restaurante Ten Con Ten,"He ido varias veces, la verdad que se come muy bien. Buen ambiente y los camareros son muy atentos es un poco costoso pero vale  la pena
Ambiente agradable..", 5 estrellas 
KultO,"La calidad de la comida fue excelente, con una gran atención por parte del personal. El sitio es muy acogedor, había hecho la reserva para comer en la terraza pero estaba haciendo frío y me acomodaron una mesa dentro, lo recomiendo y repetiré..", 5 estrellas 
Restaurante Amazonico,"Hace poco fui a comer, la verdad no me gustó tanto la comida, eso sí el lugar es muy bonito, muy bien decorado. La atención no fue tan buena, las personas que estaban allí lo miraban a uno por encima del hombro. Es algo que me incomodó…", 4 estrellas 
Círculo de Bellas Artes,"Hace dos días pase por la azotea bellas artes, la verdad no está mal, tienes unas vistas preciosas, es súper amplia, solo hemos subido 4 personas en el ascensor. Llegué a eso de las 18:30, poca gente, así que encontramos mesa fue un…", 2 estrellas 
Restaurante El Riveru,"Me dieron mesa sin reservar, ambiente agradable recomendable para los que coman mucho jeje
Quería probar la fabada Asturiana estaba muy buena, pedimos un pescado del día rey 56€ me pareció caro el error fue mío por no preguntar el precio, porque la verdad no me gustó tanto..", 3 estrellas 
Mirador de Toró,"Reserve para cenar, una penita que lloviese porque tiene unas vistas preciosas..
Lugar agradable y recomendable..
Hemos cenando  muy bien. Repitire en mis próximas vacaciones, espero tener suerte que no nos llueva como esta vez jeje..", 4 estrellas 
El Barrigon de Bertin,"Pase por Lastres en mis vacaciones con mi pareja reserve para comer y la verdad que salimos super satisfechos. Excelente atención y amabilidad y limpieza...
La comida estaba riquisimaaaaaaaaaa la berenjena, y el pulpo, es de lo mejor que he comido
Muy recomendable. Por mi repiteria muchas veces pero me cuesta por la distancia..", 5 estrellas 
Anubis cocteleria,"Los cócteles estaban  muy dulces.
Tenían más pinta y sabor de zumo, no me gustaron.
Eso sí lugar bonito y agradable.", 2 estrellas 
Sidrería Zarika (carta para CELIACOS),"Atención excelente
La comida poco me gustó..", 4 estrellas 
Ocafú Prado. Taberna Gallega,"La comida estaba muy bien, los camareros muy atentos. La tortilla es lo mejor que he probado, lo único que no me ha gustado fue que le dije al camarero que no nos apetecía el pan y se lo llevó y no lo han cobrado..", 2 estrellas 
Cappuccino Madrid,, 5 estrellas 
Parque de Berlín,, 5 estrellas 
Honest Greens,, 5 estrellas 
Edificio España,, 5 estrellas 
Restaurante Amazonico,"Fabuloso!! La comida muy esquisita, la decoración linda, el servicio muy atento. Unos de mis favoritos en Madrid.", 5 estrellas 
Tiendanimal,, 5 estrellas 
Numa Pompilio Restaurante,"Me encanta!! El ambiente, la comida, el servicio. Espectacular! 👏😋❤️", 5 estrellas 
SABOR GAUCHO MADRID,, 4 estrellas 
CARTA MARINA,, 5 estrellas 
La Alcoba del Agua Hotel Boutique,Muy agradable. Súper limpio y nuevo. Un encanto., 5 estrellas 
El molino del gato,, 4 estrellas 
Plaza de El Torico,, 4 estrellas 
Tràngol Restaurant Vermuteria,, 4 estrellas 
Faro de Peñiscola,, 5 estrellas 
Restaurante el Peñon,, 4 estrellas 
Cafe Delfos,, 5 estrellas 
El Rincón de la Villa,, 2 estrellas 
Cafetería Diola Restaurante,, 4 estrellas 
El Café de Amable,, 4 estrellas 
Degustacion De Cafe,Un cafetín con buenos pinchos y mucha simpatía :) Fíjate bien en las obras de arte locales expuestas en las paredes y pregunta si algo te gusta. ! Bravo !, 4 estrellas 
Restaurante La Pequeña Taberna,"Calidad Suprema en los productos y el Servicio. Experiencia Gastronómica Excelente. MIGUEL, el dueño, cuida todos los detalles.  Platos Estrella: Verduras de la huerta murciana💎 exquisitas, Langostinos del mar menor, los* HUEVOS de…", 5 estrellas 
Aeropuerto Internacional de Malé,"Es muy pequeño, solo hay 6 puertas para embarcar. Tiene encanto porque el personal es muy amable. Estuve con mi marido cuando volamos Barajas-Estambul- Maldivas con Turkis Airlines. Al regreso de Maldivas cogimos el vuelo para Estambul y…", 5 estrellas 
Mezquita Azul,"Fui con mi marido y al entrar lo primero que te piden es llevar pañuelo las mujeres y los hombres pantalones largos. Bonita mezquita para la oración. Es peculiar, entrada gratuita y merece la pena la visita👍🥰💯❣", 4 estrellas 
Facultad de Educación,"Trabajo en esta Facultad. He tenido la suerte de ser elegida Madrina del Grado de Infantil en las tres últimas promociones.  El alumnado es Creativo, Respetuoso y Responsable. Los compañeros del PAS y PDI, apuestan por dar un Servicio de…", 5 estrellas 
Reparación de Calzado Tacón,"Busque en Google Maps, un zapatero para poner tapas a unas botas 👢 de Zara y unos botines negros....Encontré Don tacón y me atendió un Señor TOMAS es encantador y su trabajo 💎. .. En su establecimiento  guardaba las medidas de seguridad…", 5 estrellas 
Tomás Lloret Sánchez,Fantástica Farmacia!!! Cumplen con el Protocolo Covid 100%...Te sientes seguro...Al entrar tienen un aparato para medir la temperatura 🌡 y ponerte gel hidroalcoholico....Los profesionales te asesoran de maravilla...Me encanta esta farmacia…, 5 estrellas 
Real Club de Regatas de Alicante,"Vistas IMPRESIONANTES del puerto de Alicante. Sus puntos fuertes son: 1. ALDEBARAN el RESTAURANTE y  GUILLERMO (encargado)te atiende de Lujo. Sirve platos Exquistos como:Solomillo, Entrecot, Arroces y Pescados de primera Calidad , JAIME (es…", 5 estrellas 
Only YOU Boutique Hotel,"HOTEL DINÁMICO, CHIC MODERNO, BUENA UBICACIÓN Y RELACIÓN CALIDAD-PRECIO SUPREMA. PARECE UN HOTEL 5 ESTRELLAS PORQUE CUIDAN TODOS LOS DETALLES. HE ESTADO VARIAS VECES EN ESTE HOTEL Y LA EXPERIENCIA HA SIDO FABULOSA., TE CUIDAN DESDE QUE…", 5 estrellas 
Cervecería La Galería de David,Experiencia Positiva!!! Reserve mesa porque tiene una puntuación de 4.6 en Google Maps...Al llegar DAVID (dueño) con su cercanía y Profesionalidad nos asesoró de Maravilla....Preferimos sentarnos al fondo de la barra y tomamos Mejillones…, 5 estrellas 
Estación de Servicio Repsol,"LLENE EL DEPÓSITO DEL JAGUAR, TRATO EXCELENTE,  SERVICIOS LIMPIOS Y MEDIDAS DE SEGURIDAD COVID💯💎", 5 estrellas 
